Date,EEM,EFA,EWC,IEV,EPP,IWB
202001,-0.061511032,-0.028225806,-0.007360321,-0.031516184,-0.031533477,0.001233046
202002,-0.037758252,-0.077652638,-0.070104483,-0.081354442,-0.060214095,-0.080665025
202003,-0.157699901,-0.141066838,-0.208046394,-0.154380086,-0.195301376,-0.138220788
202004,0.073542338,0.058174336,0.111212815,0.055193886,0.080802123,0.131986151
202005,0.029748908,0.054269047,0.035420099,0.053648069,0.013369714,0.051557331
202006,0.059899284,0.020623742,0.029435163,0.028513238,0.070543888,0.019053837
202007,0.08252063,0.019385576,0.055255023,0.032425743,0.015342052,0.059354613
202008,0.028875029,0.047219984,0.051263274,0.039079357,0.051771117,0.07301919
202009,-0.010103278,-0.020467836,-0.04528039,-0.034148593,-0.044276967,-0.040994107
202010,0.014062146,-0.035506677,-0.034294053,-0.053750597,-0.008132085,-0.022976222
202011,0.089912771,0.14269425,0.143936532,0.162837667,0.137888199,0.116926442
202012,0.060332444,0.040057021,0.018494055,0.04038211,0.045196507,0.037261911
202101,0.031739888,-0.0078125,-0.007782101,-0.014398998,0.001462294,-0.007883308
202102,0.007878447,0.022378782,0.05130719,0.029006987,0.032957864,0.028928962
202103,-0.007258515,0.025131739,0.05843954,0.033744856,0.014337641,0.035052023
202104,0.0119985,0.029524186,0.045814978,0.044984076,0.036034242,0.053388733
202105,0.016487588,0.034822686,0.063465319,0.046095238,0.028823982,0.004580541
202106,0.005102971,-0.024124706,-0.015843676,-0.029497451,-0.034180052,0.022038335
202107,-0.0643699,0.007733266,0.001609874,0.015947467,-0.012570102,0.02094349
202108,0.015697674,0.014467229,0.000267881,0.014404432,0.001175088,0.02860611
202109,-0.038733066,-0.032614087,-0.027852169,-0.051156017,-0.04557903,-0.049209346
202110,0.010718539,0.031790796,0.079338843,0.050844206,0.050625128,0.068966944
202111,-0.04084839,-0.045347248,-0.045941807,-0.046740917,-0.069449863,-0.012694481
202112,0.00020475,0.023945862,0.028089888,0.041754453,0.001257862,0.036573893
202201,-0.000204708,-0.036349771,-0.006245121,-0.030336459,-0.045854271,-0.056309798
202202,-0.043202293,-0.034291744,0.000785546,-0.049488055,0.02348036,-0.027410435
202203,-0.033811256,0.005189839,0.052066981,0.002194295,0.055317324,0.030366708
202204,-0.061351052,-0.067391304,-0.078587416,-0.061703822,-0.066639577,-0.088615188
202205,0.006134969,0.019959207,0.021052632,0.026941027,0.007618633,-0.002281602
202206,-0.05956848,-0.107413227,-0.109701295,-0.117744268,-0.100453662,-0.086327455
202207,-0.003491272,0.05168827,0.048396675,0.047529852,0.040105668,0.092703119
202208,-0.013263263,-0.061168594,-0.045879354,-0.070853822,-0.036481182,-0.038366664
202209,-0.11539437,-0.092220421,-0.086969427,-0.091652634,-0.100886652,-0.096101873
202210,-0.01978211,0.05891805,0.073797139,0.082891949,0.010927505,0.079004713
202211,0.155893536,0.131680998,0.065395095,0.134507214,0.161349855,0.05349427
202212,-0.040991903,-0.02205006,-0.069906223,-0.023712007,-0.028603859,-0.06147742
202301,0.091292876,0.090036563,0.094714329,0.095164495,0.096517878,0.066406992
202302,-0.075676983,-0.030747729,-0.04967904,-0.019959677,-0.074595055,-0.023830735
202303,0.032173686,0.031290555,0.003817915,0.029006377,0.008521419,0.027743555
202304,-0.008362899,0.029362416,0.029842013,0.042582967,0.00776433,0.01225414
202305,-0.024022489,-0.040070633,-0.055113636,-0.051965484,-0.063675504,0.004693188
202306,0.035873265,0.025895005,0.052014432,0.022249191,0.022265247,0.064088012
202307,0.06041456,0.027034483,0.031151758,0.024930748,0.040246212,0.034586034
202308,-0.066269368,-0.039349987,-0.038525499,-0.038030888,-0.062812927,-0.017369235
202309,-0.031146285,-0.036488187,-0.035456904,-0.042143287,-0.033997086,-0.051979499
202310,-0.032938076,-0.029019153,-0.051404662,-0.030588728,-0.033433886,-0.023838917
202311,0.077929155,0.082187687,0.102079395,0.094445645,0.061378414,0.093323449
202312,0.016430738,0.040458437,0.0485992,0.043838863,0.063709875,0.046069164
202401,-0.045262373,-0.004512276,-0.008996728,-0.009269769,-0.043768717,0.013383665
202402,0.04167752,0.029862685,0.011554333,0.025014321,0.016381595,0.052677127
202403,0.027256814,0.033786408,0.041066086,0.037071535,0.014695425,0.029524252
202404,0.007911392,-0.021287253,-0.016327064,-0.010418538,-0.010978743,-0.026663889
