Date,IWB,EWJ,EWG,EWU,EWQ,EWC,EWI,EWA,EWY,EWW,EWP,EWN,EWL,ENOR,EWD
2005-11-30,0.040067,0.028902,0.02963,0.001622,0.014028,0.0525,0.011336,0.018368,0.095034,0.07889,-0.008762,0.049653,0.027732,,0.007974
2005-12-30,0.00047,0.089718,0.049632,0.033924,0.039588,0.047477,0.044195,0.033239,0.103459,0.045837,0.019633,0.058128,0.027987,,0.075836
2006-01-31,0.024668,0.036982,0.080748,0.060818,0.079677,0.090411,0.05364,0.08453,0.077318,0.087651,0.063865,0.049213,0.058519,,0.057269
2006-02-28,0.006775,-0.015692,0.004556,-0.005581,-0.014973,-0.022613,0.010761,-0.026471,-0.037337,-0.014161,0.033784,0.017824,-0.008317,,-0.00875
2006-03-31,0.015977,0.043478,0.045351,0.028571,0.057184,0.012425,0.024229,0.008056,0.005171,0.001306,0.025141,0.042857,0.03256,,0.082808
2006-04-28,0.010327,0.027778,0.04859,0.063988,0.037316,0.052053,0.053405,0.095904,0.063237,0.056338,0.04806,0.040212,0.063067,,0.057842
2006-05-31,-0.030664,-0.054054,-0.043856,-0.026573,-0.020462,-0.022526,-0.011569,-0.05196,-0.086694,-0.111852,-0.029247,-0.04418,-0.041798,,-0.070459
2006-06-30,0.002237,-0.025714,-0.007356,0.008142,0.009097,-0.022634,0.006885,-0.002404,-0.003974,0.032805,0.01974,0.002222,-0.002345,,-0.001184
2006-07-31,0.001158,-0.005132,-0.001308,0.026128,0.008347,0.001263,0.005812,0.01012,0.000665,0.07214,0.02815,0.028381,0.034791,,-0.011067
2006-08-31,0.024429,0.010317,0.037102,0.021759,0.036093,0.040791,0.041128,0.027672,0.015725,0.038664,0.033333,0.047003,0.029078,,0.035172
2006-09-29,0.023775,-0.0124,0.011364,-0.008156,0.007351,-0.030303,-0.004897,-0.015785,0.008504,0.044477,0.047386,0.033773,0.017219,,0.048649
2006-10-31,0.03253,0.019941,0.047025,0.04614,0.021256,0.0475,0.035105,0.085755,0.021405,0.075446,0.073279,-0.006773,0.023437,,0.062224
2006-11-30,0.020512,0,0.04849,0.028384,0.045356,0.02506,0.058637,0.043531,0.047841,0.038304,0.050861,0.033694,0.038168,,0.042634
2006-12-29,0.013946,0.036166,0.05824,0.028573,0.031035,-0.006421,0.014321,0.024134,0.004717,0.081037,0.016632,0.038604,0.025081,,0.084456
2007-01-31,0.01874,0.007037,0.024535,0.006835,0.003506,0.00079,0.011743,0.017872,-0.042308,0.020488,0.027985,0.009502,0.023695,,0.015799
2007-02-28,-0.016735,0.031447,0.001451,-0.014849,-0.007569,0.005919,-0.016964,0.028428,0.03551,-0.034799,-0.017241,-0.007907,-0.025108,,-0.041476
2007-03-30,0.01005,-0.012873,0.044565,0.036606,0.031974,0.025893,0.022707,0.054878,0.032251,0.076862,0.041921,0.077419,0.025352,,0.067133
2007-04-30,0.042495,-0.019904,0.089143,0.032406,0.075895,0.054302,0.066015,0.043931,0.049239,0.018028,0.004431,0.081014,0.066719,,0.105546
2007-05-31,0.035931,0.022409,0.053185,0.021328,0.028269,0.091766,-0.005832,0.0299,0.094987,0.135887,0.055409,-0.002607,-0.000736,,-0.012675
2007-06-29,-0.019677,-0.006164,0.001811,0.006698,-0.013361,-0.007973,-0.024844,0.02043,0.037866,-0.019249,-0.027922,-0.008494,-0.027246,,-0.01475
2007-07-31,-0.031231,-0.005513,-0.037425,-0.033659,-0.039844,0.001005,-0.036969,-0.015104,0.09403,-0.046391,0.004472,-0.009885,-0.024224,,-0.008594
2007-08-31,0.011631,-0.024948,0.011289,0.002025,-0.007052,0.000335,0.005949,-0.003566,-0.028346,-0.005783,-0.004623,-0.009651,-0.002715,,-0.03255
2007-09-28,0.04075,0.01919,0.072248,0.040016,0.050533,0.094649,0.03016,0.137638,0.061778,0.005817,0.045931,0.076613,0.046286,,0.068898
2007-10-31,0.016036,0.001395,0.049161,0.057909,0.037181,0.102353,0.038462,0.092004,0.098443,0.05256,0.112993,0.021848,0.024164,,-0.025679
2007-11-30,-0.04094,-0.020195,-0.018467,-0.05878,-0.022061,-0.115577,-0.022112,-0.088447,-0.112761,-0.062217,0.002364,-0.054371,-0.0069,,-0.083267
2007-12-31,-0.010705,-0.045601,0.009771,-0.027168,-0.016251,0.018785,-0.026891,-0.048757,-0.019011,-0.01696,-0.044548,0.000964,-0.03999,,-0.036404
2008-01-31,-0.058668,-0.042889,-0.119639,-0.079734,-0.105969,-0.057285,-0.07711,-0.067314,-0.12442,-0.009464,-0.100707,-0.099252,-0.039246,,-0.09375
2008-02-29,-0.028426,-0.014937,-0.007051,-0.011733,-0.002059,0.057133,-0.019079,-0.012649,0.005119,0.001983,0.002795,0.004951,0.018422,,0.040948
2008-03-31,-0.006826,-0.012769,0.017108,-0.015525,0.029767,-0.053108,-0.009054,-0.02939,-0.020197,0.063332,0.069861,0.045723,0.017696,,0.037957
2008-04-30,0.049597,0.073565,0.037131,0.059369,0.043503,0.070934,0.058545,0.078416,0.077612,-0.011337,0.021169,0.036319,-0.001932,,0.043883
2008-05-30,0.017207,0.019578,0.02601,-0.002189,0.028524,0.078558,0.008951,0.053636,-0.01181,0.077871,-0.004467,0.012926,0.003097,,0.019108
2008-06-30,-0.083149,-0.074628,-0.087702,-0.070015,-0.107683,-0.049513,-0.112277,-0.095661,-0.130589,-0.087164,-0.114812,-0.138532,-0.066592,,-0.159654
2008-07-31,-0.00938,-0.03769,-0.008832,-0.041023,-0.020174,-0.054584,-0.03233,-0.060068,-0.020768,-0.049877,-0.013304,-0.03415,-0.005465,,-0.010144
2008-08-29,0.013819,-0.049167,-0.061001,-0.033719,-0.033576,-0.030941,-0.046467,-0.042604,-0.134254,-0.034935,-0.062921,0.006656,-0.032122,,-0.042176
2008-09-30,-0.093304,-0.065732,-0.127737,-0.132813,-0.123238,-0.132982,-0.132501,-0.137699,-0.081812,-0.10611,-0.071343,-0.169008,-0.081659,,-0.159259
2008-10-31,-0.171334,-0.155722,-0.226778,-0.197598,-0.233645,-0.27183,-0.235376,-0.270205,-0.285175,-0.337904,-0.237142,-0.256589,-0.126486,,-0.255507
2008-11-28,-0.083729,-0.037778,-0.102273,-0.064371,-0.056098,-0.107925,-0.057681,-0.088726,-0.157394,-0.048867,-0.033286,-0.077592,-0.093087,,-0.062459
2008-12-31,0.018143,0.114886,0.162943,0.006848,0.10474,0.037818,0.083712,0.090794,0.17673,0.112382,0.148854,0.10727,0.116748,,0.092514
2009-01-30,-0.079394,-0.120042,-0.193548,-0.093878,-0.166746,-0.041882,-0.166565,-0.171306,-0.051484,-0.141927,-0.172086,-0.102547,-0.14617,,-0.15617
2009-02-27,-0.104468,-0.125741,-0.129677,-0.097297,-0.098051,-0.096407,-0.139092,-0.033592,-0.178289,-0.137595,-0.115262,-0.121733,-0.113076,,-0.039604
2009-03-31,0.081844,0.071913,0.109711,0.045908,0.093452,0.090789,0.07483,0.193405,0.305505,0.144054,0.083724,0.059524,0.084758,,0.107851
2009-04-30,0.105434,0.077215,0.154977,0.119275,0.113372,0.138518,0.188291,0.097087,0.202389,0.143485,0.156177,0.111557,0.065003,,0.234073
2009-05-29,0.058774,0.101058,0.118508,0.170503,0.145692,0.232657,0.139814,0.121171,0.055231,0.176056,0.148041,0.148014,0.117756,,0.106148
2009-06-30,0.00079,0.011731,-0.042152,-0.020856,-0.043967,-0.068848,-0.03888,0.02293,-0.030992,0.008407,0.029986,-0.018787,-0.008756,,-0.00548
2009-07-31,0.074625,0.04666,0.120127,0.084784,0.104543,0.129785,0.083744,0.126786,0.196896,0.106891,0.125031,0.139782,0.105025,,0.187841
2009-08-31,0.036934,0.035461,0.038232,0.043266,0.077399,-0.017355,0.085227,0.070787,-0.001201,0.039951,0.055236,0.062536,0.061829,,0.042273
2009-09-30,0.03904,-0.027397,0.061215,0.037458,0.066092,0.071489,0.068586,0.114948,0.139216,0.02946,0.047529,0.082073,0.045236,,0.010467
2009-10-30,-0.022203,-0.039235,-0.053628,-0.00129,-0.056604,-0.063972,-0.059775,-0.029646,-0.094977,-0.001832,-0.030981,-0.031437,-0.015654,,0.013379
2009-11-30,0.059849,0.001047,0.071429,0.050355,0.05551,0.086373,0.028661,0.063839,0.034981,0.098853,0.055074,0.040186,0.033209,,0.031942
2009-12-31,0.02355,0.028031,-0.002051,0.007098,0.004308,0.025497,-0.000571,0.005374,0.076031,0.030778,-0.03691,0.019101,0.009546,,-0.027779
2010-01-29,-0.036209,0.010267,-0.093583,-0.047531,-0.078143,-0.071781,-0.092773,-0.076182,-0.04618,-0.058727,-0.103039,-0.03824,-0.043576,,-0.033192
2010-02-26,0.032662,0.010163,-0.014258,-0.008425,-0.009232,0.060147,-0.040678,0.049289,0.002641,0.057391,-0.060107,-0.030897,0.028182,,0.048416
2010-03-31,0.062973,0.050302,0.090773,0.063399,0.061415,0.07719,0.074205,0.084463,0.097454,0.097245,0.042963,0.069743,0.055276,,0.065911
2010-04-30,0.018261,-0.004789,-0.021948,-0.021512,-0.059856,0.011465,-0.08114,-0.02374,0.037,-0.00712,-0.062027,-0.013235,-0.051082,,0.0449
