Date,EEM,EFA,EWC,IEV,EPP,IWB,,,,,,
201911,-0.000939342,0.011272598,0.029534391,0.012491445,0.005849347,0.038097391,,,,,,
201912,0.054771932,0.018480603,0.008774819,0.034589264,0.003023666,0.023109011,,,,,,
202001,-0.041464333,-0.017278677,0.005994187,-0.025091111,-0.011422499,0.006017934,,,,,,
202002,-0.03775804,-0.077652643,-0.070104449,-0.081354499,-0.064072219,-0.0806646,,,,,,
202003,-0.157699887,-0.141066873,-0.208046301,-0.154379889,-0.242701298,-0.13822086,,,,,,
202004,0.073542196,0.058174489,0.111212774,0.055193874,0.074761213,0.138275542,,,,,,
202005,0.029748857,0.054268872,0.035419877,0.053647964,0.013193483,0.05155725,,,,,,
202006,0.059899436,0.020623792,0.029435219,0.028513199,0.065895134,0.019053656,,,,,,
202007,0.088801569,0.033856221,0.0659644,0.045222155,0.028533865,0.06313472,,,,,,
202008,0.028875101,0.047220087,0.05126338,0.039079464,0.049222782,0.073019275,,,,,,
202009,-0.010103297,-0.020467852,-0.045280319,-0.034148626,-0.046328232,-0.040994264,,,,,,
202010,0.014062149,-0.035506782,-0.03429402,-0.053750518,-0.008198682,-0.018924641,,,,,,
202011,0.089912754,0.14269427,0.143936438,0.162837673,0.121179055,0.116926186,,,,,,
202012,0.060332419,0.040057127,0.018494013,0.040382131,0.043242048,0.037262048,,,,,,
202101,0.042406526,0.001819757,0.004522776,-0.007090858,0.01299313,-0.004086109,,,,,,
202102,0.007878285,0.022378829,0.051307265,0.029006893,0.031906379,0.0289289,,,,,,
202103,-0.007258451,0.025131902,0.058439604,0.033745025,0.014134951,0.035051981,,,,,,
202104,0.011998511,0.029524073,0.045814809,0.044984001,0.034780863,0.056838628,,,,,,
202105,0.016487654,0.034822577,0.063465452,0.046095143,0.028016552,0.004580461,,,,,,
202106,0.005102931,-0.024124901,-0.015843564,-0.02949737,-0.035389767,0.022038473,,,,,,
202107,-0.060273076,0.021513704,0.007789042,0.032140909,-0.000981498,0.023287472,,,,,,
202108,0.015697722,0.014467185,0.000267895,0.014404325,0.001173692,0.028606036,,,,,,
202109,-0.038733011,-0.032614077,-0.027852179,-0.051156057,-0.04775561,-0.04920931,,,,,,
202110,0.010718465,0.031790703,0.079338884,0.050844259,0.048185598,0.072547578,,,,,,
202111,-0.040848418,-0.045347232,-0.045941836,-0.046740879,-0.074633069,-0.012694422,,,,,,
202112,0.000204777,0.023945955,0.028089911,0.041754335,0.001256263,0.036573797,,,,,,
202201,0.014655193,-0.017561932,0.006404285,-0.01841574,-0.014664584,-0.05349393,,,,,,
202202,-0.043202257,-0.034291744,0.00078563,-0.04948805,0.022941616,-0.027410525,,,,,,
202203,-0.033811244,0.00518988,0.052067019,0.002194241,0.052417746,0.030366766,,,,,,
202204,-0.061351005,-0.067391385,-0.07858746,-0.061703821,-0.071397507,-0.085765414,,,,,,
202205,0.006134868,0.019959336,0.021052592,0.026941034,0.007561016,-0.002281587,,,,,,
202206,-0.059568478,-0.107413233,-0.109701185,-0.117744416,-0.111671563,-0.086327425,,,,,,
202207,0.004977081,0.074954946,0.056042725,0.074164845,0.062767569,0.095716213,,,,,,
202208,-0.013263213,-0.061168673,-0.045879472,-0.070853852,-0.037862544,-0.038366566,,,,,,
