,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199501,0.9,0.06,-0.6,3.46,3.26,1.32
199502,3.23,3.48,4,5.02,4.28,3.48
199503,1.44,1.8,2.64,3.25,2.34,2.91
199504,2.14,2.35,2.43,0.23,2.24,3.52
199505,1.6,1.72,1.97,4.6,3.83,3.38
199506,4.36,3.4,8.69,2.85,1.33,4.37
199507,4.35,4.81,8.83,3.5,3.51,4.14
199508,1.78,3.57,3.22,1.34,1.22,0.22
199509,0.1,2.28,3.03,1.81,3.95,4.68
199510,-8.33,-3.46,-4.7,-4.07,-0.93,0.62
199511,1.97,3.8,4.19,7.19,4.71,3.63
199512,-0.12,2.92,3.37,-0.32,2.03,1.23
199601,1.35,0.43,0.22,1.39,2.44,3.61
199602,3.78,2.85,4.05,1.4,0.76,2.31
199603,2.92,1.76,2.49,3.59,1.34,0.34
199604,6.8,3.27,8.63,5.37,0.96,1.77
199605,4.56,4.11,6.11,1.85,1.82,3.38
199606,-5.03,-2.37,-4.65,-2.03,0.5,-0.45
199607,-8.37,-6.11,-10.93,-7.46,-4,-5.23
199608,4.8,5.14,7.05,4.67,2.64,2.44
199609,2.32,3.64,5.18,4.11,4.63,6.64
199610,-3.37,0.3,-2.4,-3.76,2.98,2.84
199611,4.39,4.1,1.91,8.42,7.59,6.16
199612,-0.15,2.94,3.16,-0.18,-1.27,-2.23
199701,4.65,3.05,3.38,2.91,4.17,8.09
199702,-2.47,0.1,-4.33,0.33,1.81,-2.07
199703,-6.56,-3.63,-4.18,-4.28,-4.07,-4.86
199704,-3.39,0,-1.03,0.84,3.64,8.17
199705,15.72,9.83,11.51,11.88,5.95,5.75
199706,4.11,5.95,7.5,3.22,3.43,5.02
199707,3.89,5.52,6.89,5.02,6.77,9.56
199708,4.15,2.97,3.83,-1.33,-3.78,-6.11
199709,7.83,7.86,9.73,4.76,5.23,5.79
199710,-4.47,-2.25,-4.17,-2.78,-2.91,-4.22
199711,-3.28,-0.63,-1.14,4.03,4.91,2.56
199712,-4.44,1.74,1.88,0.9,2.08,2.53
199801,0.51,-0.88,-1.15,-0.65,0.51,1.29
199802,8.31,7.6,7.24,8.33,7.29,7.16
199803,3.42,4.77,5.61,3.91,4.73,6.03
199804,1.92,1.3,1.64,0.62,0.11,2.39
199805,-6.63,-3.93,-5.46,-4.17,-2.08,-1.7
199806,-5.73,-0.92,2.31,-0.11,3.88,6.41
199807,-10.06,-6.78,-5.65,-2.95,-2.47,0.01
199808,-23.7,-17.43,-20.62,-15.27,-15.44,-14.67
199809,6.17,4.61,9,10.72,6.28,6.27
199810,7.13,3.94,2.41,12.77,8.87,6.76
199811,5.24,6.13,7.24,6.24,5.77,6.63
199812,0.76,4.24,7.37,-2.11,1.94,9.1
199901,4.17,-0.06,2.97,-1.97,0.74,5.28
199902,-8.27,-7.31,-7.53,-3.15,-1.58,-4.1
199903,0.21,-3.09,-0.64,6.11,2.11,4.42
199904,13.28,6.89,8.31,15.33,9.27,2.22
199905,5.75,3.32,2.42,4.17,-0.44,-2.87
199906,3.7,4.89,9.44,1.9,1.18,6.29
199907,-1.55,-0.51,-0.29,-4.65,-4.15,-2.59
199908,-4.99,-3.22,-1.54,-2.8,-2,-0.02
199909,-2.67,-1.17,1.56,-9.28,-4.56,-0.56
199910,-3.62,-0.87,1.42,1.46,6.74,7.42
199911,5.81,2.88,13.16,1.37,-0.95,5.29
199912,5.36,3.39,17.21,-1.96,-4.06,12.62
200001,-0.48,-1.53,3.27,-5.45,-2.18,-5.37
200002,5.98,5.72,26.59,-9.09,-7.77,6.7
200003,2.2,0.72,-2.01,14.73,11.17,5.28
